funding_time,funding_rate
2025-05-04 00:00:00.001000+00:00,-4.04e-06
2025-05-04 08:00:00.001000+00:00,-4.138e-05
2025-05-04 16:00:00.002000+00:00,-0.00012151
2025-05-05 00:00:00+00:00,-6.756e-05
2025-05-05 08:00:00+00:00,1.617e-05
2025-05-05 16:00:00.006000+00:00,-9.298e-05
2025-05-06 00:00:00.002000+00:00,6.405e-05
2025-05-06 08:00:00.005000+00:00,-4.546e-05
2025-05-06 16:00:00+00:00,-2.434e-05
2025-05-07 00:00:00.002000+00:00,8.971e-05
2025-05-07 08:00:00+00:00,3.313e-05
2025-05-07 16:00:00.006000+00:00,6.688e-05
2025-05-08 00:00:00+00:00,2.457e-05
2025-05-08 08:00:00.001000+00:00,5.832e-05
2025-05-08 16:00:00.002000+00:00,9.64e-05
2025-05-09 00:00:00.001000+00:00,0.0001
2025-05-09 08:00:00.006000+00:00,0.0001
2025-05-09 16:00:00+00:00,0.0001
2025-05-10 00:00:00.001000+00:00,0.0001
2025-05-10 08:00:00+00:00,0.0001
2025-05-10 16:00:00.001000+00:00,0.0001
2025-05-11 00:00:00+00:00,0.0001
2025-05-11 08:00:00.001000+00:00,0.0001
2025-05-11 16:00:00.001000+00:00,5.117e-05
2025-05-12 00:00:00.004000+00:00,3.571e-05
2025-05-12 08:00:00+00:00,6.886e-05
2025-05-12 16:00:00+00:00,0.0001
2025-05-13 00:00:00+00:00,8.216e-05
2025-05-13 08:00:00.008000+00:00,0.0001
2025-05-13 16:00:00.001000+00:00,4.667e-05
2025-05-14 00:00:00.007000+00:00,0.0001
2025-05-14 08:00:00+00:00,0.0001
2025-05-14 16:00:00.002000+00:00,2.295e-05
2025-05-15 00:00:00+00:00,-2.267e-05
2025-05-15 08:00:00.003000+00:00,9.24e-06
2025-05-15 16:00:00+00:00,3.324e-05
2025-05-16 00:00:00.001000+00:00,-1.229e-05
2025-05-16 08:00:00+00:00,8.483e-05
2025-05-16 16:00:00+00:00,-1.038e-05
2025-05-17 00:00:00+00:00,-4.807e-05
2025-05-17 08:00:00.001000+00:00,3.475e-05
2025-05-17 16:00:00.004000+00:00,1.111e-05
2025-05-18 00:00:00+00:00,2.02e-05
2025-05-18 08:00:00+00:00,7.853e-05
2025-05-18 16:00:00+00:00,5.057e-05
2025-05-19 00:00:00+00:00,-1.197e-05
2025-05-19 08:00:00.006000+00:00,-0.00013744
2025-05-19 16:00:00.010000+00:00,-0.00010509
2025-05-20 00:00:00+00:00,7.217e-05
2025-05-20 08:00:00.002000+00:00,0.0001
2025-05-20 16:00:00+00:00,-2.235e-05
2025-05-21 00:00:00+00:00,6.901e-05
2025-05-21 08:00:00.001000+00:00,9.58e-05
2025-05-21 16:00:00.004000+00:00,9.897e-05
2025-05-22 00:00:00.001000+00:00,7.607e-05
2025-05-22 08:00:00+00:00,0.0001
2025-05-22 16:00:00.002000+00:00,0.0001
2025-05-23 00:00:00.006000+00:00,0.0001
2025-05-23 08:00:00+00:00,0.0001
2025-05-23 16:00:00.007000+00:00,0.0001
2025-05-24 00:00:00.010000+00:00,0.0001
2025-05-24 08:00:00+00:00,-2.064e-05
2025-05-24 16:00:00.003000+00:00,1.263e-05
2025-05-25 00:00:00.004000+00:00,6.352e-05
2025-05-25 08:00:00+00:00,-3.821e-05
2025-05-25 16:00:00+00:00,-3.651e-05
2025-05-26 00:00:00+00:00,-9.9e-06
2025-05-26 08:00:00+00:00,1.765e-05
2025-05-26 16:00:00.002000+00:00,8.686e-05
2025-05-27 00:00:00.003000+00:00,-8.877e-05
2025-05-27 08:00:00.001000+00:00,-2.909e-05
2025-05-27 16:00:00.005000+00:00,0.0001
2025-05-28 00:00:00.002000+00:00,0.0001
2025-05-28 08:00:00.003000+00:00,-2.762e-05
2025-05-28 16:00:00.002000+00:00,-0.00013891
2025-05-29 00:00:00+00:00,-8.565e-05
2025-05-29 08:00:00.006000+00:00,7.947e-05
2025-05-29 16:00:00+00:00,-3.067e-05
2025-05-30 00:00:00.003000+00:00,-1.093e-05
2025-05-30 08:00:00.003000+00:00,-5.322e-05
2025-05-30 16:00:00+00:00,3.101e-05
2025-05-31 00:00:00+00:00,3.422e-05
2025-05-31 08:00:00+00:00,1.633e-05
2025-05-31 16:00:00+00:00,-0.00010143
2025-06-01 00:00:00.001000+00:00,-6.233e-05
2025-06-01 08:00:00.002000+00:00,-8.005e-05
2025-06-01 16:00:00+00:00,-4.325e-05
2025-06-02 00:00:00.001000+00:00,4.401e-05
2025-06-02 08:00:00+00:00,4.587e-05
2025-06-02 16:00:00+00:00,-3.75e-06
2025-06-03 00:00:00+00:00,4.371e-05
2025-06-03 08:00:00+00:00,6.746e-05
2025-06-03 16:00:00.001000+00:00,5.76e-06
2025-06-04 00:00:00+00:00,-4.581e-05
2025-06-04 08:00:00+00:00,5.065e-05
2025-06-04 16:00:00+00:00,1.795e-05
2025-06-05 00:00:00.016000+00:00,1.332e-05
2025-06-05 08:00:00+00:00,3.552e-05
2025-06-05 16:00:00+00:00,-6.04e-06
2025-06-06 00:00:00.002000+00:00,-6.476e-05
2025-06-06 08:00:00+00:00,-0.00011387
2025-06-06 16:00:00.006000+00:00,-1.384e-05
2025-06-07 00:00:00+00:00,6.211e-05
2025-06-07 08:00:00+00:00,1.3e-05
2025-06-07 16:00:00.002000+00:00,-2.393e-05
2025-06-08 00:00:00+00:00,-7.4e-07
2025-06-08 08:00:00+00:00,4.196e-05
2025-06-08 16:00:00+00:00,-2.649e-05
2025-06-09 00:00:00+00:00,0.0001
2025-06-09 08:00:00.001000+00:00,2.864e-05
2025-06-09 16:00:00.001000+00:00,4.81e-05
2025-06-10 00:00:00+00:00,9.077e-05
2025-06-10 08:00:00.001000+00:00,0.0001
2025-06-10 16:00:00.003000+00:00,-1.13e-06
2025-06-11 00:00:00+00:00,0.0001
2025-06-11 08:00:00+00:00,0.0001
2025-06-11 16:00:00.010000+00:00,0.0001
2025-06-12 00:00:00.002000+00:00,5.193e-05
2025-06-12 08:00:00.003000+00:00,3.997e-05
2025-06-12 16:00:00.001000+00:00,-2.02e-06
2025-06-13 00:00:00+00:00,-1.707e-05
2025-06-13 08:00:00.001000+00:00,-9.27e-05
2025-06-13 16:00:00.004000+00:00,1.064e-05
2025-06-14 00:00:00+00:00,8.928e-05
2025-06-14 08:00:00+00:00,2.159e-05
2025-06-14 16:00:00+00:00,-4.8e-06
2025-06-15 00:00:00.005000+00:00,-3.76e-05
2025-06-15 08:00:00.009000+00:00,7.334e-05
2025-06-15 16:00:00+00:00,8.709e-05
2025-06-16 00:00:00+00:00,0.0001
2025-06-16 08:00:00+00:00,0.0001
2025-06-16 16:00:00.003000+00:00,-6.24e-06
2025-06-17 00:00:00+00:00,9.96e-06
2025-06-17 08:00:00.006000+00:00,0.0001
2025-06-17 16:00:00.001000+00:00,5.322e-05
2025-06-18 00:00:00.001000+00:00,5.552e-05
2025-06-18 08:00:00.001000+00:00,-7.1e-06
2025-06-18 16:00:00.001000+00:00,-2.074e-05
2025-06-19 00:00:00.005000+00:00,2.853e-05
2025-06-19 08:00:00.003000+00:00,2.565e-05
2025-06-19 16:00:00+00:00,1.075e-05
2025-06-20 00:00:00+00:00,5.538e-05
2025-06-20 08:00:00.002000+00:00,4.09e-05
2025-06-20 16:00:00.001000+00:00,1.443e-05
2025-06-21 00:00:00.002000+00:00,-5.118e-05
2025-06-21 08:00:00.005000+00:00,-7.613e-05
2025-06-21 16:00:00+00:00,2.732e-05
2025-06-22 00:00:00.005000+00:00,-3.464e-05
2025-06-22 08:00:00+00:00,3.965e-05
2025-06-22 16:00:00.003000+00:00,8.55e-06
2025-06-23 00:00:00+00:00,4.979e-05
2025-06-23 08:00:00.004000+00:00,4.69e-06
2025-06-23 16:00:00.013000+00:00,1.44e-05
2025-06-24 00:00:00.003000+00:00,8.638e-05
2025-06-24 08:00:00+00:00,-2.013e-05
2025-06-24 16:00:00+00:00,2.041e-05
2025-06-25 00:00:00.005000+00:00,-1.345e-05
2025-06-25 08:00:00+00:00,0.0001
2025-06-25 16:00:00.005000+00:00,4.739e-05
2025-06-26 00:00:00+00:00,3.413e-05
2025-06-26 08:00:00.006000+00:00,2.145e-05
2025-06-26 16:00:00.007000+00:00,-6.184e-05
2025-06-27 00:00:00+00:00,-6.442e-05
2025-06-27 08:00:00+00:00,1.541e-05
2025-06-27 16:00:00.009000+00:00,1.738e-05
2025-06-28 00:00:00.001000+00:00,6.933e-05
2025-06-28 08:00:00.002000+00:00,0.0001
2025-06-28 16:00:00+00:00,0.0001
2025-06-29 00:00:00.004000+00:00,0.0001
2025-06-29 08:00:00.001000+00:00,0.0001
2025-06-29 16:00:00.001000+00:00,3.46e-05
2025-06-30 00:00:00+00:00,6.987e-05
2025-06-30 08:00:00.005000+00:00,8.33e-06
2025-06-30 16:00:00.002000+00:00,3.926e-05
2025-07-01 00:00:00.007000+00:00,9.123e-05
2025-07-01 08:00:00.002000+00:00,5.05e-05
2025-07-01 16:00:00+00:00,-7.235e-05
